,STATE,STATUS,STATE SUMMARY,Source of Action,Name of Source,Type of Action,Order/declaration affects residential eviction/civil proceedings ,Hyperlink to Source (Not Included in State Summary Row),Date of Issue,Effective Date,Expiration Date ,Date Moratorium Began to Lift,Expired/Replaced,Prohibits law enforcement from executing new and past orders of eviction,"Status of non-emergency civil court proceedings 
",Remote hearings allowed in non-emergency civil cases ,"Applies to civil cases, which should include eviction cases ",Applies to eviction cases directly,Applies to commercial eviction directly,Applies to foreclosure or foreclosure eviction cases directly,"Exempts criminal activity, damage to property, emergency, nuisance or cases to protect public health from eviction freeze ",Only applies to certain eviction cases ,"If limited to certain eviction cases, the freeze only applies to these cases  
","Tolls, extends or stays court deadlines",Date to which deadlines are tolled,"Suspends all five stages of eviction (notice, filing, hearing, ruling, execution) ",1. Suspends Notice of Eviction to Tenant ,2. Suspends Filing of Eviction Claim,3. Suspends Hearings on Eviction ,"4. Stays Order, Judgment or Writ of Eviction ",5. Suspends enforcement of new order of eviction,Prohibits issuance of late fees to landlord ,Requires certification that property is not covered under CARES Act Moratorium,Order/Declaration discusses effect of housing on public health,Order/Declaration discusses economic consequences on housing,Model order,Brief Summary of What Order Does,Moratorium Extended Past Emergency Declaration,Free Utility Reconnection,No Utility Disconnection,No Reporting to Credit Bureau,Grace Period to Pay Rent,Length of Time for Grace Period,No Late Fees,"Length of Time for No Late Fees 
mm/dd/yyyy",Legal Counsel for Tenants,No Rent Raises,"Length of Time for No Rent Raises
mm/dd/yyyy",Foreclosure Moratorium,"Length of Time for Foreclosure Moratorium
mm/dd/yyyy",Housing Stabilization,Length of time for Housing Stabilization mm/dd/yyyy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALASKA (AK) CURRENT SUMMARY,Eviction Cases can Resume (Remote or In-Person),"On March 20, the Governor issued an executive order that suspends evictions for tenants who recieve rental assistance through the Alaska Housing Finance Corporation. On April 10, the legislature passed a bill that suspends any statute that would give a cause of action for evictions or foreclosures, but only as applied to tenants or mortgagees experiencing financial hardship due to COVID-19. The legislation also suspended utility disconnection due to COVID-19 hardship and provided homeless prevention funding. On April 3, the State Supreme Court placed a moratorium on all non-emergency cases.  On April 24, the Court began holding remote eviction hearings in cases not covered under the legislature's prohibition or the CARES Act moratorium.  On June 1, the Supreme Court's moratorium on in-person proceedings ended and the legislature's prohibition on evictions resulting from COVID-19 financial hardship has expired. Some localities have suspended utility and water shutoffs. ",Court,,,Y,,,,6/30/20 (legislation),,Y,N,N/A,Y,Y,Y,N,Y,N,Y,Non-payment related to COVID-19,N,5/1/20,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,,N,,N,N,,N,06/30/20,Y,
,ALASKA (AK) PEAK COVERAGE SUMMARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALASKA (AK),,,Court,All District Courts,Eviction Moratorium,Y,AK_DistrictCourt_RelaxationOfCourtRules3rdUpdate_052920,5/29/20,5/29/20,Open,,N,N,N/A,N/A,Y,Y,N,N/A,N,N,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,"Permits all non-jury civil proceedings (including evictions) to resume starting June 1. Eviction proceedings must continue to comply with sec. 21, ch. 10, SLA 20 and the federal CARES Act. A court may find good cause to stay an eviction order,  and an eviction should be stayed if a tenant is subject to a quarantine or is self-quarantined pursuant to public health guideline or doctor's recommendation.",N,N,N,N,N,N/A,N,N/A,N,N,N/A,N,N/A,N,N/A
,ALASKA (AK),,,Court,Supreme Court,Eviction Moratorium,Y,AK_DistrictCourt_AO_052920,5/29/20,5/29/20,Open,,N,N,N/A,N/A,Y,Y,N,N/A,N,N,N/A,N,,N,N,N,N,N,N,N,N,N,N,N,"Permits all non-jury civil proceedings (including evictions) to resume starting June 1. Eviction proceedings must continue to comply with sec. 21, ch. 10, SLA 20 and the federal CARES Act [¶ 14]. A court may find good cause to stay an eviction order,  and an eviction should be stayed if a tenant is subject to a quarantine or is self-quarantined pursuant to public health guideline or doctor's recommendation [¶ 14].",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,ALASKA (AK),,,Court,Supreme Court,Eviction Moratorium,Y,AK_SupremeCourt_OrderNo.8104_051120,5/11/20,5/11/20,open,,N,N,N/A,N/A,Y,N,N,N,N,N,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,"Non-jury court proceedings may resume on 6/1, with strict adherence to social distancing.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,ALASKA (AK),,,Court,Supreme Court,Eviction Moratorium,Y,AK_SupremeCourt_Order_042420,4/24/20,4/24/20,open,,N,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,N,Y,Non-payment related to COVID-19,Y,5/1/20,N,N,N,N,N,N,N,,N,N,N,Telephonic evictions may be held as long as they are consistent with the recent state legislation and the CARES Act [¶29]. Trial judges may find good cause to stay evictions; eviction should be stayed if a tenant is quarantined or self-quarantined.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,ALASKA (AK),,,Court,Supreme Court,Eviction Moratorium,Y,AK_DistrictCourt_AdminOrder_040320,4/3/20,4/3/20,Open,,Y,N,All Suspended,N,Y,Y,N,N,N,N,N/A,Y,5/1/20,N,N,N,Y,N,Local Discretion,N,,N,N,N,"Order suspends all eviction hearings and allows trial court judges to find good cause to stay an outstanding eviciton order based on the current public health emergency. If a tenant is subject to a quarantine or is self-quarantined pursuant to public health guideline or doctor's recommendation, then the eviction should be stayed.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,ALASKA (AK),,,Court,Supreme Court,Eviction Moratorium,Y,AK_DistrictCourt_AdminOrder_032320,3/23/20,3/23/20,Open,,Y,N,All Suspended,N,Y,Y,N,N,N,N,N/A,Y,5/1/20,N,N,N,Y,N,Local Discretion,N,,Y,N,N,Providing guidance on suspension of district court proceedings; clarifies that eviction cases will not be heard and that trial courts can stay outstanding orders.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,ALASKA (AK),,,Court,Supreme Court,Eviction Moratorium,Y,AK_SupremeCourt_OrderNo.8131_031920,3/19/20,3/19/20,4/3/20,,Y,N,All Suspended,N,Y,N,N,N,N/A,N/A,N/A,N/A,,N,N,N,In Effect Y,N,N,N,,N,N,N,Suspends all district court proceedings except for listed priority hearings.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,ALASKA (AK),,,Governor,Gov. Dunleavy,Eviction Moratorium,Y,AK_GovernorRemarks_032020,3/20/20,3/20/20,6/19/20,,N/A,N,N/A,N/A,N/A,Y,N,Y,N,N,N/A,N,,N,N,N,N,N,N,,,N,Y,N,Governor will sign an executive order protecting residents who receive rental assistance through the Alaska Housing Finance Corporation from being evicted for 60 days. The AHFC is directed to suspend foreclosures and evictions.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,ALASKA (AK),,,Governor,Alaska Housing Finance Corporation,Tenancy Preservation,N,AK_AHFC_AlaskaHousingRelief_06082020,6/8/20,6/15/20,Open,,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,"Beginning 6/15, low-income Alaska homeowners and renters who have experienced loss of income due to COVID-19 can apply to AHFC for a relief fund up to $1200. The program is funded with $10 million from the federal Coronavirus Relief Fund.",N/A,N,N,N,N,N/A,N,N/A,N,N,N/A,N,N/A,Y,06/26/20
,ALASKA (AK),,,Legislation,Alaska Legislature,Eviction Moratorium,Y,AK_LegislationSB241,4/10/20,4/10/20,until Governor's determination or 6/30/20,,Y,N,N/A,N/A,N/A,Y,N,Y,Y,Y,Non-payment related to COVID-19,N,N/A,N,N,Y,N,N,N,N,,N,N,N,Suspends cause of action for FED for nonpayment of rent as it applies to someone experiencing financial hardship due to COVID-19 [§ 21]. Tenants must certify to landlord that they are experiencing hardship due to the pandemic. Does not apply to eviction for criminal activity or other lease violations. Foreclosures are also suspended if they result from financial hardship due to COVID-19 [§ 24].  No utility disconnection if account holder is suffering a COVID-19 related hardship and public utilities must make reasonable efforts to reconnect subscribers who are experiencing COVID-19 related financial hardships § 19].,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,06/30/20,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARIZONA (AZ) CURRENT SUMMARY,COVID-19 Eviction Enforcement Suspended,"The Governor has issued a stay on executing all evictions statewide for tenants who can show (1) that they have suffered a substantial loss of income due to COVID-19, (2) that they or a family member have been ordered to stay in quarantine by a medical professional, or (3) that they have a health condition that makes them more at risk to COVID-19. Evictions proceedings are managed by each Superior Court at the local level. So while evictions actions can't be executed, they can still be filed and managed in court.  Statutory deadlines for courts to hold eviction proceedings are tolled from 3/18-9/30, and that time will not be counted in computing the deadline once the tolling period ends. Mohave County Court has allowed judges to delay eviction cases if needed. In Phoenix, all city-owned housing is prohibited from evicting tenants.",Court/Governor,,,COVID-19 Related,,,,10/31/20,,N,N,Local Discretion,Y,Y,Y,Y,N,N,Y,Non-payment related to COVID-19,Y,9/30/20 (specifically tolls time in the eviction procedure rules),N,N,N,Local Discretion,N,COVID-19 Related,N,Y,N,Y,N,,N,N,N,N,N,,N,,N,N,,N,,Y ,
,ARIZONA (AZ) PEAK COVERAGE SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARIZONA (AZ),,,Court,Supreme Court,Eviction Moratorium,Y,AZ_SupremeCourt_AdministrativeOrder2020-119_72220,7/22/20,7/22/20,Open,,N,N,Local Discretion,Y,Y,Y,N,N,N/A,N,N/A,Y,3/18-12/15 is excluded from calculation of time that requires court proceedings to be held within a certain time,N,N,N,N,N,N,N,Y,N,N,N,"Parties, attorneys, and witnesses in an eviction proceeding shall be permitted to participate remotely by telephone or video conference, at their discretion. Judges shall liberally grant continuances and make accommodations, if necessary and possible, for attorneys, parties, victims, witnesses, jurors, and others with business before the courts who are unable to participate in a proceeding due to the COVID-19 pandemic. At the initial hearing, the plaintiff or the plaintiff’s attorney shall attest on the record to their compliance with all requirements of applicable state and federal statutes and rules adopted by the supreme court concerning eviction. On motion of the plaintiff, for good cause, the court may order amendment of an eviction judgment in a case in which enforcement of the writ of restitution was delayed due to Executive Order 2020-14 or Executive Order 2020-49 and the tenant remained in possession of the residence. If the judgment is amended, the existing writ shall be quashed, and a new writ of restitution shall not be issued until five calendar days after the amended judgment is signed. Enforcement of a writ of restitution that has been delayed by Executive Order 2020-14 or Executive Order 2020-49 shall not proceed until the court grants a motion to compel enforcement of the writ filed by the plaintiff. The court shall determine whether to grant the motion using the procedure provided in Rule 14(b)(2) of the Rules of Procedure for Eviction Actions. An order granting the motion shall not permit enforcement of the writ until five days after the order is issued. ",N,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,ARIZONA (AZ),,,Court,Supreme Court,Eviction Moratorium,Y,AZ_SupremeCourtOrder2020-114_071520,7/15/20,7/15/20,Open,,N,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,Y,9/30/20,N,N,N,Local Discretion,N,N,N,N/A,N,N,N,Replaces Order 2020-79. Nearly identical wording in both orders. Time from 3/18 - 9/30 shall not be included in time computations for eviction proceedings and other court matters. In-person court proceedings put off until Arizona continues on to then next phase of reopening. No clear time-table on that.,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,,
,ARIZONA (AZ),,,Court,Supreme Court,Eviction Moratorium,Y,AZ_SupremeCourtOrder2020-105_070720,7/7/20,7/7/20,Expiration of CARES Act for certification. Open,,N,N,Local Discretion,Y,Y,Y,N,N,N/A,N,N/A,N,,N,N,N,N,N,N,N,Y,N,N,N,Requires plaintiffs to file CARES Act certification in eviction cases. Courts should not schedule more than 25 eviction cases in an hour. Remote hearings are allowed. ,N,N,N,N,N,,N,,N,N,,N,,,
,ARIZONA (AZ),,,Court,,Eviction Moratorium,Local Discretion,AZ_SupremeCourtOrder 2020-79_052020,5/20/20,5/20/20,,,Y,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,8/1/20,N,N,N,Local Discretion,N,N,N,N,N,N,N,"Revises Order 2020-75. No in-person proceedings except in emergencies, but courts may hold proceedings by teleconference/video coference [§II.1].  Beginning on 6/1, courts will enter phased re-opening to in-person proceedings. Time from 3/18-8/1 shall not be included in time computations for eviction proceedings [§V.1]. ",,,,,,,,,,,,,,,
,ARIZONA (AZ),,,Court,,Eviction Moratorium,Local Discretion,AZ_SupremeCourtOrder 2020-75_050820,5/8/20,5/8/20,,,Y,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,8/1/20,N,N,N,Local Discretion,N,N,N,N,N,N,N,"Extends Order 2020-70. No in-person proceedings except in emergencies, but courts may hold proceedings by teleconference/video coference [§II.1].  Beginning on 6/1, courts will enter phased re-opening to in-person proceedings. Time from 3/18-8/1 shall not be included in time computations for eviction proceedings [§V.1].  ",,,,,,,,,,,,,,,
,ARIZONA (AZ),,,Court,,Eviction Moratorium,Local Discretion,AZ_SupremeCourtOrder_2020-70_042420,4/24/20,4/24/20,6/1/20,,Y,N,Local Discretion,N,Y,N,N,N,N/A,N/A,N/A,N,6/1/20,N,N,N,Local Discretion,N,N,N,N,N,N,N,Extends Order 2020-60. Juries suspended until 6/1; time from 3/18 until 6/1 shall not be included in time computations. Courts required to use technologies and limit in-person contact.,,,,,,,,,,,,,,,
,ARIZONA (AZ),,,Court,,Eviction Moratorium,Local Discretion,AZ_Guidance for Processing Eviction Matters_042920,4/29/20,4/29/20,open,,N,N,Local Discretion,Y,N,Y,N,N,Y,Y,Non-payment related to COVID-19,N,N/A,N,N,N,N,Local Discretion,N,N,N,N,N,N,"Guidance on governor's EO on evictions. Advises of circumstances that qualify tenants to remain in home (quarantine/isolation, or economic impact) and advises tenants to notify their landlords of such impacts and provide documentation where they can. Encourages proceedings for emergency evictions to occur remotely/telephonically. Courts should not consider impact due to covid during proceeding; it should be considered after a judgment is issued.",,,,,,,,,,,,,,,
,ARIZONA (AZ),,,Court,,Eviction Moratorium,Local Discretion,AZ_SupremeCourtOrder_2020-60_040620,4/6/20,4/6/20,5/1/20,,Y,,Local Discretion,N,Y,N,N,N,N/A,N/A,N/A,Y,5/1/20 (specifically tolls time in the eviction procedure rules),N,Local Discretion,Local Discretion,Local Discretion,Local Discretion,Local Discretion,N,,N,N,N,Replaces Order 2020-48 and extends tolling of deadlines to 5/1/20.,,,,,,,,,,,,,,,
,ARIZONA (AZ),,,Court,,Eviction Moratorium,Local Discretion,AZ_SupremeCourt_OrderNo.2020-48_031820,3/18/20,3/18/20,open,,Y,N,Local Discretion,N,Y,N,N,N,N/A,N/A,N/A,Y,4/17/20 (specifically tolls time in the eviction procedure rules),N,N,N,Local Discretion,N,N,N,,N,N,N,"In-person proceedings ordered to be ""avoided to the greatest extent possible""; directs judges of superior courts to direct how in-person proceedings can be conducted as safely as possible; tolls time. Gives new dates.",,,,,,,,,,,,,,,
